example_id,metadata,relation_type,entity_1,entity_2,content,tagged_sentence
02648917-f651-4c45-9449-1623cafd6cdc,{'ID': '118_UK_DocF_V2_Ventilation'},necessity,Public Health Englands Indoor Air Quality Guidelines,used,Public Health Englands Indoor Air Quality Guidelines for Selected Volatile Organic Compounds (VOCs) in the UK should be used.,<e1>Public Health Englands Indoor Air Quality Guidelines</e1> for Selected Volatile Organic Compounds (VOCs) in the UK should be <e2>used</e2>.
02f5e3fb-7a8b-4a88-a6e5-337cc0835284,{'ID': '90_UK_DocO_Overheating'},necessity,information,given to the owner of the building to allow them to use the overheating mitigation strategy effectively,"When a new residential building is erected, information about the building must be given to the owner of the building to allow them to use the overheating mitigation strategy effectively.","When a new residential building is erected, <e1>information</e1> about the building must be <e2>given to the owner of the building to allow them to use the overheating mitigation strategy effectively</e2>."
0365837b-a04d-4aaf-a2f5-2e89403a9c2b,{'ID': '200_UK_DocF_V1_Ventilation'},necessity,terminals,set to a significantly closed position to achieve the required air flow rate,"If all the terminals have to be set to a significantly closed position to achieve the required air flow rate, then the fan speed should be reduced and the terminals rebalanced.","If all the <e1>terminals</e1> have to be <e2>set to a significantly closed position to achieve the required air flow rate</e2>, then the fan speed should be reduced and the terminals rebalanced."
0365837b-a04d-4aaf-a2f5-2e89403a9c2b,{'ID': '200_UK_DocF_V1_Ventilation'},necessity,terminals,rebalanced,"If all the terminals have to be set to a significantly closed position to achieve the required air flow rate, then the fan speed should be reduced and the terminals rebalanced.","If all the terminals have to be set to a significantly closed position to achieve the required air flow rate, then the fan speed should be reduced and the <e1>terminals</e1> <e2>rebalanced</e2>."
0365837b-a04d-4aaf-a2f5-2e89403a9c2b,{'ID': '200_UK_DocF_V1_Ventilation'},necessity,speed,reduced,"If all the terminals have to be set to a significantly closed position to achieve the required air flow rate, then the fan speed should be reduced and the terminals rebalanced.","If all the terminals have to be set to a significantly closed position to achieve the required air flow rate, then the fan <e1>speed</e1> should be <e2>reduced</e2> and the terminals rebalanced."
03bdab65-fc14-4101-add9-f26c25f41e82,{'ID': '134_Finnish_Health-WaterAndSewerage'},necessity,drainage point,water seal,A drainage point shall be equipped with a cleansable water seal.,A <e1>drainage point</e1> shall be equipped with a cleansable <e2>water seal</e2>.
03ee3a93-abb7-451f-98bf-d6c3d0baf8a2,{'ID': '116_UK_DocK_ProtectionFromFalling'},necessity,Provision,made to ensure a clear view of the space on either side of a swing door or gate,Provision shall be made to ensure a clear view of the space on either side of a swing door or gate.,<e1>Provision</e1> shall be <e2>made to ensure a clear view of the space on either side of a swing door or gate</e2>.
043258d7-d35e-42d9-87c5-b83565c39ad6,{'ID': '133_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,audit,undertaken to confirm that the designed details have been constructed,"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.","Before elements are concealed by subsequent work, an onsite <e1>audit</e1> should be <e2>undertaken to confirm that the designed details have been constructed</e2>."
05698d4d-c140-4bce-94b3-386ce02baa6b,{'ID': '169_Finnish_Health-WaterAndSewerage'},necessity,storm water sewers,condensation insulation,The storm water sewers within the building shall be equipped with condensation insulation.,The <e1>storm water sewers</e1> within the building shall be equipped with <e2>condensation insulation</e2>.
05864826-21ef-4ae7-9af8-2aaeffc7267a,{'ID': '83_UK_DocM_V2_AccessAndUseOfBuildings'},less,intended time of use,two years,Modular and portable buildings with a planned service life of more than two years but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,Modular and portable buildings with a planned service life of more than two years but with an <e1>intended time of use</e1> in a single location of less than <e2>two years</e2> should be shown to comply with the energy efficiency requirements.
05864826-21ef-4ae7-9af8-2aaeffc7267a,{'ID': '83_UK_DocM_V2_AccessAndUseOfBuildings'},greater,service life,two years,Modular and portable buildings with a planned service life of more than two years but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,Modular and portable buildings with a planned <e1>service life</e1> of more than <e2>two years</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.
05dc10dc-6a9a-4e83-93d3-79fff4819f99,{'ID': '110_Finnish_SafetyOfUse'},necessity,Standing areas,terraced,Standing areas must be terraced so that it is safe to move in the rows.,<e1>Standing areas</e1> must be <e2>terraced</e2> so that it is safe to move in the rows.
05fdde92-d8af-42ad-963b-9019c69a8ab3,{'ID': '163_UK_DocL_V1_ConsrvationOfFuelAndPower'},equal,thickness,insulation,"For a timber frame where the intermediate floor structure breaches the external wall insulation, further insulation of the same thickness as the insulation used in the external wall should be included within the depth of the intermediate floor structure.","For a timber frame where the intermediate floor structure breaches the external wall insulation, further insulation of the same <e1>thickness</e1> as the <e2>insulation</e2> used in the external wall should be included within the depth of the intermediate floor structure."
05fdde92-d8af-42ad-963b-9019c69a8ab3,{'ID': '163_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,insulation,included within the depth of the intermediate floor structure,"For a timber frame where the intermediate floor structure breaches the external wall insulation, further insulation of the same thickness as the insulation used in the external wall should be included within the depth of the intermediate floor structure.","For a timber frame where the intermediate floor structure breaches the external wall insulation, further <e1>insulation</e1> of the same thickness as the insulation used in the external wall should be <e2>included within the depth of the intermediate floor structure</e2>."
061c3b6a-49ed-4803-9436-e6349fae98e0,{'ID': '65_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,doors,capable of being held closed when not in use,Entrance doors should be capable of being held closed when not in use.,Entrance <e1>doors</e1> should be <e2>capable of being held closed when not in use</e2>.
0638f810-16d0-4670-8870-4e7c78c5371f,{'ID': '419_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,cavity closers,installed where appropriate,Insulated cavity closers should be installed where appropriate.,Insulated <e1>cavity closers</e1> should be <e2>installed where appropriate</e2>.
0667134c-1290-4fe0-99eb-41c0b9e63a27,{'ID': '67_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,primary energy,attributed in proportion to the output energy streams,CO2 emissions and primary energy associated with the thermal energy streams of a trigeneration scheme should be attributed in proportion to the output energy streams.,CO2 emissions and <e1>primary energy</e1> associated with the thermal energy streams of a trigeneration scheme should be <e2>attributed in proportion to the output energy streams</e2>.
0667134c-1290-4fe0-99eb-41c0b9e63a27,{'ID': '67_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,CO2 emissions,attributed in proportion to the output energy streams,CO2 emissions and primary energy associated with the thermal energy streams of a trigeneration scheme should be attributed in proportion to the output energy streams.,<e1>CO2 emissions</e1> and primary energy associated with the thermal energy streams of a trigeneration scheme should be <e2>attributed in proportion to the output energy streams</e2>.
06c2e0f7-69c8-47ec-bf31-9902ae9df7cf,{'ID': '109_UK_DocK_ProtectionFromFalling'},necessity,roofs,be safely accessible for cleaning,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.","Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or <e1>roofs</e1> to <e2>be safely accessible for cleaning</e2>."
06c2e0f7-69c8-47ec-bf31-9902ae9df7cf,{'ID': '109_UK_DocK_ProtectionFromFalling'},necessity,ceilings,be safely accessible for cleaning,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.","Provision shall be made for any windows, skylights, or any transparent or translucent walls, <e1>ceilings</e1> or roofs to <e2>be safely accessible for cleaning</e2>."
06c2e0f7-69c8-47ec-bf31-9902ae9df7cf,{'ID': '109_UK_DocK_ProtectionFromFalling'},necessity,skylights,be safely accessible for cleaning,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.","Provision shall be made for any windows, <e1>skylights</e1>, or any transparent or translucent walls, ceilings or roofs to <e2>be safely accessible for cleaning</e2>."
06c2e0f7-69c8-47ec-bf31-9902ae9df7cf,{'ID': '109_UK_DocK_ProtectionFromFalling'},necessity,Provision,made,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.","<e1>Provision</e1> shall be <e2>made</e2> for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning."
06c2e0f7-69c8-47ec-bf31-9902ae9df7cf,{'ID': '109_UK_DocK_ProtectionFromFalling'},necessity,walls,be safely accessible for cleaning,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.","Provision shall be made for any windows, skylights, or any transparent or translucent <e1>walls</e1>, ceilings or roofs to <e2>be safely accessible for cleaning</e2>."
06c2e0f7-69c8-47ec-bf31-9902ae9df7cf,{'ID': '109_UK_DocK_ProtectionFromFalling'},necessity,windows,be safely accessible for cleaning,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.","Provision shall be made for any <e1>windows</e1>, skylights, or any transparent or translucent walls, ceilings or roofs to <e2>be safely accessible for cleaning</e2>."
07336e23-ffc0-4625-9dca-73c1eb5808c7,{'ID': '47_UK_DocF_V1_Ventilation'},necessity,Purge ventilation,capable of extracting at least four air changes per hour per room directly to the outside,Purge ventilation should be capable of extracting at least four air changes per hour per room directly to the outside.,<e1>Purge ventilation</e1> should be <e2>capable of extracting at least four air changes per hour per room directly to the outside</e2>.
07565483-7508-43fc-b15e-82d95881e81e,{'ID': '70_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,dwelling primary energy rate,calculated using the same averaging methodology,"The average dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated using the same averaging methodology.","The average <e1>dwelling primary energy rate</e1>, dwelling emission rate and dwelling fabric energy efficiency rate should be <e2>calculated using the same averaging methodology</e2>."
07565483-7508-43fc-b15e-82d95881e81e,{'ID': '70_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,dwelling emission rate,calculated using the same averaging methodology,"The average dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated using the same averaging methodology.","The average dwelling primary energy rate, <e1>dwelling emission rate</e1> and dwelling fabric energy efficiency rate should be <e2>calculated using the same averaging methodology</e2>."
07565483-7508-43fc-b15e-82d95881e81e,{'ID': '70_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,dwelling fabric energy efficiency rate,calculated using the same averaging methodology,"The average dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated using the same averaging methodology.","The average dwelling primary energy rate, dwelling emission rate and <e1>dwelling fabric energy efficiency rate</e1> should be <e2>calculated using the same averaging methodology</e2>."
079db365-cfed-474e-9329-25349ac0db4a,{'ID': '21_Finnish_Accessibility'},greater,level difference,20 millimetres,"In connection with the door of an outside space of an individual dwelling the level difference outside the door may be more than 20 millimetres if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.","In connection with the door of an outside space of an individual dwelling the <e1>level difference</e1> outside the door may be more than <e2>20 millimetres</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space."
07a9b148-d87f-492c-abe2-04175801038d,{'ID': '170_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,WC compartments,have a minimum manoeuvring space clear of any door swing,Standard WC compartments should also have a minimum manoeuvring space clear of any door swing.,Standard <e1>WC compartments</e1> should also <e2>have a minimum manoeuvring space clear of any door swing</e2>.
08075a86-82be-487e-915b-2c8423f95cb8,{'ID': '39_UK_DocO_Overheating'},necessity,equivalent area,meet or exceed the free area of the opening,The equivalent area of the opening should meet or exceed the free area of the opening.,The <e1>equivalent area</e1> of the opening should <e2>meet or exceed the free area of the opening</e2>.
082a011b-2d6a-4569-b58d-f8cab00f5d81,{'ID': '191_UK_DocF_V1_Ventilation'},necessity,quality of the installation,checked to ensure it is correctly mounted within the wall or window aperture,The quality of the installation of the ventilator product should be checked to ensure it is correctly mounted within the wall or window aperture.,The <e1>quality of the installation</e1> of the ventilator product should be <e2>checked to ensure it is correctly mounted within the wall or window aperture</e2>.
082c7ed9-3579-48c2-a0d2-076f1edd647c,{'ID': '112_UK_DocO_Overheating'},equal,two,sections,"Each of the two sections of the centrally hinged window should be assessed as a single side, bottom or top hung window.","Each of the <e1>two</e1> <e2>sections</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window."
082c7ed9-3579-48c2-a0d2-076f1edd647c,{'ID': '112_UK_DocO_Overheating'},necessity,sections,"assessed as a single side, bottom or top hung window","Each of the two sections of the centrally hinged window should be assessed as a single side, bottom or top hung window.","Each of the two <e1>sections</e1> of the centrally hinged window should be <e2>assessed as a single side, bottom or top hung window</e2>."
08efb7a8-1f9e-491b-8a6f-7043ec96ea3b,{'ID': '54_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},necessity,methodology,consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure,The methodology for determining costs should be consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure.,The <e1>methodology</e1> for determining costs should be <e2>consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure</e2>.
09b2a395-5293-4b7d-82d4-5312482d59e9,{'ID': '46_UK_DocM_V1_AccessAndUseOfBuildings'},equal,900-1000mm,above,"Door entry controls, where provided, are mounted 900-1000mm above finished ground level, and at least 300mm away from any projecting corner.","Door entry controls, where provided, are mounted <e1>900-1000mm</e1> <e2>above</e2> finished ground level, and at least 300mm away from any projecting corner."
09b2a395-5293-4b7d-82d4-5312482d59e9,{'ID': '46_UK_DocM_V1_AccessAndUseOfBuildings'},greater-equal,300mm,away,"Door entry controls, where provided, are mounted 900-1000mm above finished ground level, and at least 300mm away from any projecting corner.","Door entry controls, where provided, are mounted 900-1000mm above finished ground level, and at least <e1>300mm</e1> <e2>away</e2> from any projecting corner."
09e6b265-5610-4917-ac32-6b2c8f144fd6,{'ID': '107_UK_DocK_ProtectionFromFalling'},necessity,"Windows, skylights and ventilators","constructed or equipped that they may be opened, closed or adjusted safely","Windows, skylights and ventilators which can be opened by people in or about the building shall be so constructed or equipped that they may be opened, closed or adjusted safely.","<e1>Windows, skylights and ventilators</e1> which can be opened by people in or about the building shall be so <e2>constructed or equipped that they may be opened, closed or adjusted safely</e2>."
0a53e4af-84a7-46aa-b28a-cb1d873c8cae,{'ID': '151_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,type and quality,chosen carefully to ensure intelligibility,"The type and quality of public address, hearing enhancement and telephone systems should be chosen carefully to ensure intelligibility.","The <e1>type and quality</e1> of public address, hearing enhancement and telephone systems should be <e2>chosen carefully to ensure intelligibility</e2>."
0a6d6be2-bb25-4a7d-ac98-33351e1a2bb7,{'ID': '144_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,bedrooms,"sufficiently spacious to enable a wheelchair user to transfer to one side of a bed, with or without assistance","Wheelchair-accessible bedrooms should be sufficiently spacious to enable a wheelchair user to transfer to one side of a bed, with or without assistance.","Wheelchair-accessible <e1>bedrooms</e1> should be <e2>sufficiently spacious to enable a wheelchair user to transfer to one side of a bed, with or without assistance</e2>."
0a7ff0c7-c5f9-4069-9d7e-2bfd6c4871d3,{'ID': '13_UK_DocL_V1_ConsrvationOfFuelAndPower'},less-equal,floor area,30m2,The floor area of the extension does not exceed 30m2.,The <e1>floor area</e1> of the extension does not exceed <e2>30m2</e2>.
0aad98a7-74e6-4678-9620-2f80355e7ba8,{'ID': '94_UK_DocF_V2_Ventilation'},necessity,commissioning notice,given to the building control body,commissioning notice must be given to the building control body.,<e1>commissioning notice</e1> must be <e2>given to the building control body</e2>.
0aaf71f0-a482-4a72-a407-0d6db79c7f6f,{'ID': '69_Finnish_FireSafety'},necessity,areas,located on the level of second storey,"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey.","In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented <e1>areas</e1> that essentially relate to the business of the building may be <e2>located on the level of second storey</e2>."
0aaf71f0-a482-4a72-a407-0d6db79c7f6f,{'ID': '69_Finnish_FireSafety'},less-equal,200 m2,areas,"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey.","In a building consisting primarily of one storey, no more than <e1>200 m2</e1> of fire-compartmented and no more than 50 m2 of non-fire-compartmented <e2>areas</e2> that essentially relate to the business of the building may be located on the level of second storey."
0aaf71f0-a482-4a72-a407-0d6db79c7f6f,{'ID': '69_Finnish_FireSafety'},less-equal,50 m2,areas,"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey.","In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than <e1>50 m2</e1> of non-fire-compartmented <e2>areas</e2> that essentially relate to the business of the building may be located on the level of second storey."
0ab44f38-4588-4f61-ad7e-21a4a25df17d,{'ID': '342_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,Calibration,carried out in accordance with CIBSEs TM23,Calibration should be carried out in accordance with CIBSEs TM23.,<e1>Calibration</e1> should be <e2>carried out in accordance with CIBSEs TM23</e2>.
0cafda73-ee3a-4a99-a224-2d142de63618,{'ID': '238_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,parts,sized,"Where a wet heating system is either: a. newly installed b. fully replaced in an existing building, including the heating appliance, emitters and associated pipework all parts of the system including pipework and emitters should be sized to allow the space heating system to operate effectively and in a manner that meets the heating needs of the dwelling, at a maximum flow temperature of 55C or lower.","Where a wet heating system is either: a. newly installed b. fully replaced in an existing building, including the heating appliance, emitters and associated pipework all <e1>parts</e1> of the system including pipework and emitters should be <e2>sized</e2> to allow the space heating system to operate effectively and in a manner that meets the heating needs of the dwelling, at a maximum flow temperature of 55C or lower."
0cfe8c0e-45e4-4c4c-bf9b-906e26e28c75,{'ID': '43_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,space,people,"There should be sufficient space for people to approach the building, pass others who are travelling in the opposite direction and carry out all necessary manoeuvres.","There should be sufficient <e1>space</e1> for <e2>people</e2> to approach the building, pass others who are travelling in the opposite direction and carry out all necessary manoeuvres."
0d5f23b0-8423-4528-95bd-179fe81c75df,{'ID': '62_Finnish_SafetyOfUse'},necessity,building,lit,A building and its environment must be lit in a way that enables safe use and servicing.,A <e1>building</e1> and its environment must be <e2>lit</e2> in a way that enables safe use and servicing.
0d5f23b0-8423-4528-95bd-179fe81c75df,{'ID': '62_Finnish_SafetyOfUse'},necessity,environment,lit,A building and its environment must be lit in a way that enables safe use and servicing.,A building and its <e1>environment</e1> must be <e2>lit</e2> in a way that enables safe use and servicing.
0d8c2f7d-5234-4bec-bbbe-961e499ebbbc,{'ID': '129_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,proportion,designed for independent use by wheelchair users,"A proportion of the sleeping accommodation in hotels, motels and student accommodation should be designed for independent use by wheelchair users.","A <e1>proportion</e1> of the sleeping accommodation in hotels, motels and student accommodation should be <e2>designed for independent use by wheelchair users</e2>."
0da52584-1b37-48b5-840f-3795ae695275,{'ID': '119_UK_DocM_V2_AccessAndUseOfBuildings'},equal,two,doors,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where <e1>two</e1> <e2>doors</e2> are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.
0da52584-1b37-48b5-840f-3795ae695275,{'ID': '119_UK_DocM_V2_AccessAndUseOfBuildings'},equal,1400mm,deep,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,the minimum clear dimensions of the platform are: 1100mm wide and <e1>1400mm</e1> <e2>deep</e2> where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.
0da52584-1b37-48b5-840f-3795ae695275,{'ID': '119_UK_DocM_V2_AccessAndUseOfBuildings'},equal,1100mm,wide,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,the minimum clear dimensions of the platform are: <e1>1100mm</e1> <e2>wide</e2> and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.
0df5892a-e396-424e-90f1-74f6ccfb9e1a,{'ID': '61_Finnish_Accessibility'},necessity,certain proportion,suitable for a person with mobility and functional impairment,"A certain proportion of the changing rooms, washing facilities, saunas and swimming pools in a non-residential building shall be suitable for a person with mobility and functional impairment.","A <e1>certain proportion</e1> of the changing rooms, washing facilities, saunas and swimming pools in a non-residential building shall be <e2>suitable for a person with mobility and functional impairment</e2>."
0ea1e862-2434-4fc8-97a2-b076c992ef20,{'ID': '214_Finnish_FireSafety'},greater-equal,height,"2,100 millimetres","The width of an exit must be at least 1,200 millimetres and its free height must be at least 2,100 millimetres.","The width of an exit must be at least 1,200 millimetres and its free <e1>height</e1> must be at least <e2>2,100 millimetres</e2>."
0ea1e862-2434-4fc8-97a2-b076c992ef20,{'ID': '214_Finnish_FireSafety'},greater-equal,width,"1,200 millimetres","The width of an exit must be at least 1,200 millimetres and its free height must be at least 2,100 millimetres.","The <e1>width</e1> of an exit must be at least <e2>1,200 millimetres</e2> and its free height must be at least 2,100 millimetres."
0edb92b7-a2e1-480f-b708-e7e6c9951a79,{'ID': '173_Finnish_Health-WaterAndSewerage'},necessity,drainage water,flow away from the property in such a way that it does not cause problems to the waste water and storm water systems,The foundation drainage water shall flow away from the property in such a way that it does not cause problems to the waste water and storm water systems.,The foundation <e1>drainage water</e1> shall <e2>flow away from the property in such a way that it does not cause problems to the waste water and storm water systems</e2>.
0f2dbc3b-0f3e-444e-a688-ed8faebd1226,{'ID': '105_Finnish_SafetyOfUse'},necessity,Seats,fixed to a base,Seats must be fixed to a base if the floor of the seating area is sloped or if there are level differences between the floors of the respective rows of seats.,<e1>Seats</e1> must be <e2>fixed to a base</e2> if the floor of the seating area is sloped or if there are level differences between the floors of the respective rows of seats.
0f32fab3-c03b-400c-949a-cc95828a89d3,{'ID': '330_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,specification,based on a heat gain calculation for the dwelling,The specification of comfort cooling systems should be based on a heat gain calculation for the dwelling.,The <e1>specification</e1> of comfort cooling systems should be <e2>based on a heat gain calculation for the dwelling</e2>.
0f67dad7-6df9-444b-8e72-f447668e3fde,{'ID': '104_UK_DocM_V1_AccessAndUseOfBuildings'},greater-equal,400mm,high,"Where sanitary facilities are wheelchair accessible, WC pans should be a minimum of 400mm high.","Where sanitary facilities are wheelchair accessible, WC pans should be a minimum of <e1>400mm</e1> <e2>high</e2>."
